city_name,census_block,crime_counts
Austin,484530003053014,14
Austin,484530003061000,13
Austin,484530003061002,11
Austin,484530003061004,1
Austin,484530003061005,5
Austin,484530003061006,2
Austin,484530003061007,5
Austin,484530003061008,1
Austin,484530003061011,12
Austin,484530003061012,6
Austin,484530003061014,9
Austin,484530003061015,5
Austin,484530003061016,2
Austin,484530003061017,3
Austin,484530003061018,14
Austin,484530003061019,12
Austin,484530003061020,3
Austin,484530003061021,1
Austin,484530003061022,2
Austin,484530003061023,1
Austin,484530003061024,2
Austin,484530003061026,1
Austin,484530003061027,1
Austin,484530003061028,2
Austin,484530003061029,1
Austin,484530003061030,1
Austin,484530003061034,2
Austin,484530003061036,4
Austin,484530003061039,8
Austin,484530003061040,1
Austin,484530003061041,1
Austin,484530003061042,2
Austin,484530003061043,1
Austin,484530003061044,1
Austin,484530003061045,1
Austin,484530003071000,10
Austin,484530003071001,6
Austin,484530003071002,2
Austin,484530003071003,11
Austin,484530003071004,2
Austin,484530003071007,6
Austin,484530003071008,7
Austin,484530003071010,1
Austin,484530003071011,14
Austin,484530003071012,6
Austin,484530003071013,8
Austin,484530003071015,5
Austin,484530003071016,2
Austin,484530003071017,6
Austin,484530003071018,3
Austin,484530003071019,18
Austin,484530003071020,5
Austin,484530003071022,3
Austin,484530003071025,1
Austin,484530003071027,14
Austin,484530003071028,1
Austin,484530003071030,6
Austin,484530003071032,2
Austin,484530003071033,3
Austin,484530003071036,1
Austin,484530003071038,4
Austin,484530003071039,2
Austin,484530003071040,1
Austin,484530003071041,2
Austin,484530003071042,1
Austin,484530003071043,2
Austin,484530003071046,16
Austin,484530003071047,1
Austin,484530003071049,5
Austin,484530003071051,1
Austin,484530004011000,8
Austin,484530004011001,14
Austin,484530004011002,17
Austin,484530004011004,1
Austin,484530004011005,1
Austin,484530004011006,7
Austin,484530004011008,1
Austin,484530004011009,3
Austin,484530004011010,3
Austin,484530004011011,6
Austin,484530004011012,1
Austin,484530004011013,1
Austin,484530004011014,3
Austin,484530004011016,1
Austin,484530004011017,1
Austin,484530004011018,4
Austin,484530004011019,13
Austin,484530004011020,8
Austin,484530004011021,3
Austin,484530004011025,9
Austin,484530004011026,4
Austin,484530004011027,2
Austin,484530004011028,1
Austin,484530004011030,1
Austin,484530004011031,2
Austin,484530004011032,1
Austin,484530004011033,2
Austin,484530004011034,4
Austin,484530004011036,1
Austin,484530004011038,1
Austin,484530004011039,2
Austin,484530004011042,1
Austin,484530004011043,2
Austin,484530004011044,1
Austin,484530004011045,2
Austin,484530004011046,3
Austin,484530004011049,6
Austin,484530004011050,5
Austin,484530004012001,9
Austin,484530004012002,3
Austin,484530004012003,7
Austin,484530004012004,5
Austin,484530004012006,1
Austin,484530004012008,10
Austin,484530004012009,3
Austin,484530004012010,14
Austin,484530004012011,8
Austin,484530004012014,4
Austin,484530004012015,9
Austin,484530004012016,1
Austin,484530004012018,6
Austin,484530004012019,2
Austin,484530004012020,2
Austin,484530004012027,5
Austin,484530004012029,10
Austin,484530004012030,1
Austin,484530004012031,8
Austin,484530004012033,3
Austin,484530004012034,3
Austin,484530004012038,1
Austin,484530004012040,2
Austin,484530004012041,1
Austin,484530004021000,19
Austin,484530004021001,1
Austin,484530004021002,5
Austin,484530004021003,6
Austin,484530004021004,4
Austin,484530004021005,7
Austin,484530004021006,4
Austin,484530004021007,20
Austin,484530004021009,10
Austin,484530004021010,5
Austin,484530004021011,4
Austin,484530004021012,4
Austin,484530004021014,8
Austin,484530004022000,14
Austin,484530004022002,7
Austin,484530004022003,5
Austin,484530004022004,2
Austin,484530004022005,3
Austin,484530004022007,2
Austin,484530004022008,3
Austin,484530004022009,7
Austin,484530004022010,13
Austin,484530004022011,3
Austin,484530004022012,16
Austin,484530004022013,3
Austin,484530004023000,5
Austin,484530004023001,6
Austin,484530004023002,4
Austin,484530004023003,5
Austin,484530004023004,1
Austin,484530004023005,7
Austin,484530004023006,2
Austin,484530004023007,2
Austin,484530004023009,4
Austin,484530004023010,1
Austin,484530004023011,1
Austin,484530004023013,2
Austin,484530004023014,4
Austin,484530004023015,3
Austin,484530004023016,6
Austin,484530004023018,2
Austin,484530004023019,1
Austin,484530004023020,4
Austin,484530004023021,1
Austin,484530004023022,1
Austin,484530004023023,6
Austin,484530004023024,1
Austin,484530004023025,2
Austin,484530004023026,6
Austin,484530004023027,1
Austin,484530004023028,5
Austin,484530004023029,3
Austin,484530004023032,4
Austin,484530004023033,3
Austin,484530004023034,1
Austin,484530004023035,1
Austin,484530004023038,7
Austin,484530004023039,1
Austin,484530004023040,2
Austin,484530005001000,4
Austin,484530005001001,3
Austin,484530005001003,5
Austin,484530005001004,3
Austin,484530005001005,2
Austin,484530005001006,4
Austin,484530005001007,13
Austin,484530005001009,9
Austin,484530005002000,7
Austin,484530005002001,2
Austin,484530005002003,4
Austin,484530005002004,2
Austin,484530005002005,3
Austin,484530005002006,4
Austin,484530005002007,3
Austin,484530005002008,2
Austin,484530005002010,1
Austin,484530005002011,1
Austin,484530005002012,7
Austin,484530005002014,5
Austin,484530005002015,2
Austin,484530005003000,4
Austin,484530005003001,1
Austin,484530005003002,1
Austin,484530005003003,2
Austin,484530005003004,2
Austin,484530005003005,2
Austin,484530005003007,1
Austin,484530005003009,18
Austin,484530005003010,6
Austin,484530005003011,2
Austin,484530005003012,1
Austin,484530005003013,8
Austin,484530005003015,3
Austin,484530005003016,3
Austin,484530005003017,8
Austin,484530005003020,1
Austin,484530005004001,5
Austin,484530005004002,9
Austin,484530005004005,12
Austin,484530005004006,10
Austin,484530005004007,1
Austin,484530005004008,10
Austin,484530005004010,3
Austin,484530005004012,2
Austin,484530005004015,1
Austin,484530005004016,9
Austin,484530005004018,1
Austin,484530005004019,2
Austin,484530005004020,1
Austin,484530005004021,1
Austin,484530006011003,6
Austin,484530006011005,1
Austin,484530006011006,1
Austin,484530006011008,19
Austin,484530006011009,2
Austin,484530006011010,5
Austin,484530006012001,1
Austin,484530006012002,2
Austin,484530006012003,2
Austin,484530006012004,3
Austin,484530006012006,3
Austin,484530006012010,1
Austin,484530006012011,1
Austin,484530006012015,4
Austin,484530006012016,1
Austin,484530006012017,2
Austin,484530006012020,2
Austin,484530006012021,1
Austin,484530006012022,1
Austin,484530006012025,2
Austin,484530006012026,14
Austin,484530006012027,3
Austin,484530006012030,2
Austin,484530006012031,18
Austin,484530006031000,3
Austin,484530006031001,4
Austin,484530006031002,3
Austin,484530006031003,6
Austin,484530006031004,1
Austin,484530006031005,4
Austin,484530006031006,4
Austin,484530006031007,5
Austin,484530006031008,5
Austin,484530006031009,12
Austin,484530006032001,18
Austin,484530006032002,1
Austin,484530006032004,11
Austin,484530006032007,9
Austin,484530006032008,3
Austin,484530006032009,5
Austin,484530006033000,7
Austin,484530006033001,19
Austin,484530006033003,17
Austin,484530006033004,12
Austin,484530006034000,18
Austin,484530006034001,13
Austin,484530006034002,9
Austin,484530006034003,10
Austin,484530006034005,11
Austin,484530006034006,10
Austin,484530006034008,4
Austin,484530006035001,12
Austin,484530006041000,5
Austin,484530006041001,11
Austin,484530006041002,9
Austin,484530006041003,3
Austin,484530006041004,4
Austin,484530006041006,14
Austin,484530006041007,5
Austin,484530006041008,6
Austin,484530006041009,11
Austin,484530006041010,5
Austin,484530006041011,1
Austin,484530006041012,1
Austin,484530006042001,15
Austin,484530006042002,15
Austin,484530006042003,5
Austin,484530006042004,5
Austin,484530006042008,17
Austin,484530006042009,13
Austin,484530006042010,9
Austin,484530006043001,11
Austin,484530006043002,7
Austin,484530006043003,10
Austin,484530006043004,11
Austin,484530006043005,8
Austin,484530006043006,12
Austin,484530006043007,18
Austin,484530006043008,20
Austin,484530007001000,2
Austin,484530007001003,1
Austin,484530007001004,1
Austin,484530007001005,3
Austin,484530007001007,6
Austin,484530007001008,3
Austin,484530007001009,8
Austin,484530007001011,7
Austin,484530007001012,8
Austin,484530007001013,3
Austin,484530007001014,17
Austin,484530007001016,9
Austin,484530007001017,1
Austin,484530007001018,3
Austin,484530007001019,4
Austin,484530007001020,6
Austin,484530007001021,5
Austin,484530007001022,11
Austin,484530007001023,2
Austin,484530007001025,1
Austin,484530007001028,4
Austin,484530007001029,4
Austin,484530007001030,1
Austin,484530007001031,3
Austin,484530007001034,15
Austin,484530007001035,4
Austin,484530007001036,7
Austin,484530007001037,1
Austin,484530007001038,2
Austin,484530007001039,1
Austin,484530007001040,3
Austin,484530007001041,14
Austin,484530007001042,3
Austin,484530007001043,3
Austin,484530007001045,1
Austin,484530007001048,1
Austin,484530007001049,2
Austin,484530007001050,4
Austin,484530007001051,10
Austin,484530007001052,7
Austin,484530007001053,9
Austin,484530007001054,2
Austin,484530007001055,2
Austin,484530007001058,2
Austin,484530007001060,3
Austin,484530007001061,1
Austin,484530007001062,17
Austin,484530007001063,4
Austin,484530007001064,2
Austin,484530007001065,5
Austin,484530007001067,1
Austin,484530007001068,1
Austin,484530007001069,9
Austin,484530007001070,3
Austin,484530007001071,8
Austin,484530007001072,8
Austin,484530007001073,3
Austin,484530007001075,14
Austin,484530007001076,13
Austin,484530007001078,6
Austin,484530007001079,4
Austin,484530008011001,10
Austin,484530008011003,9
Austin,484530008011004,4
Austin,484530008011005,11
Austin,484530008011006,20
Austin,484530008011008,20
Austin,484530008011009,18
Austin,484530008011011,5
Austin,484530008011013,4
Austin,484530008011014,8
Austin,484530008011015,5
Austin,484530008011016,12
Austin,484530008011017,2
Austin,484530008011018,3
Austin,484530008011019,6
Austin,484530008011020,4
Austin,484530008011021,5
Austin,484530008011022,11
Austin,484530008011023,8
Austin,484530008011024,2
Austin,484530008011025,7
Austin,484530008021000,19
Austin,484530008021001,3
Austin,484530008021002,1
Austin,484530008021003,6
Austin,484530008021004,9
Austin,484530008021005,4
Austin,484530008021006,1
Austin,484530008021007,2
Austin,484530008021008,1
Austin,484530008021009,5
Austin,484530008021010,10
Austin,484530008021011,2
Austin,484530008021012,3
Austin,484530008021013,3
Austin,484530008021014,1
Austin,484530008021015,3
Austin,484530008021016,3
Austin,484530008021017,11
Austin,484530008021018,10
Austin,484530008021019,16
Austin,484530008022001,6
Austin,484530008022003,1
Austin,484530008022004,10
Austin,484530008023000,2
Austin,484530008023001,2
Austin,484530008023003,10
Austin,484530008023004,1
Austin,484530008023005,2
Austin,484530008023006,3
Austin,484530008023008,10
Austin,484530008023011,15
Austin,484530008023012,9
Austin,484530008023013,6
Austin,484530008023014,6
Austin,484530008023016,4
Austin,484530008023017,7
Austin,484530008031000,9
Austin,484530008031001,2
Austin,484530008031002,14
Austin,484530008031003,1
Austin,484530008031005,4
Austin,484530008031007,2
Austin,484530008031008,1
Austin,484530008031009,3
Austin,484530008031010,7
Austin,484530008031011,4
Austin,484530008031013,2
Austin,484530008031015,1
Austin,484530008031017,1
Austin,484530008031018,2
Austin,484530008031019,1
Austin,484530008031020,3
Austin,484530008031021,3
Austin,484530008031022,4
Austin,484530008031023,1
Austin,484530008031024,4
Austin,484530008031025,3
Austin,484530008031027,1
Austin,484530008031028,3
Austin,484530008031029,1
Austin,484530008031030,4
Austin,484530008031031,1
Austin,484530008031033,1
Austin,484530008031034,1
Austin,484530008031035,4
Austin,484530008032000,3
Austin,484530008032001,10
Austin,484530008032002,6
Austin,484530008032003,2
Austin,484530008032004,6
Austin,484530008032005,5
Austin,484530008032006,2
Austin,484530008032007,4
Austin,484530008032008,1
Austin,484530008032009,3
Austin,484530008032010,2
Austin,484530008032011,1
Austin,484530008032012,4
Austin,484530008032013,1
Austin,484530008032014,3
Austin,484530008032016,10
Austin,484530008032018,2
Austin,484530008032019,9
Austin,484530008032020,1
Austin,484530008032021,16
Austin,484530008033000,4
Austin,484530008033002,2
Austin,484530008033004,1
Austin,484530008033005,5
Austin,484530008033007,3
Austin,484530008033008,4
Austin,484530008033009,3
Austin,484530008033010,5
Austin,484530008033011,2
Austin,484530008033012,5
Austin,484530008033013,3
Austin,484530008033014,3
Austin,484530008033015,1
Austin,484530008033017,1
Austin,484530008033019,4
Austin,484530008033020,1
Austin,484530008033021,1
Austin,484530008033022,1
Austin,484530008033023,1
Austin,484530008033024,2
Austin,484530008033025,1
Austin,484530008033026,5
Austin,484530008033027,2
Austin,484530008033029,9
Austin,484530008033030,6
Austin,484530008033031,9
Austin,484530008033032,4
Austin,484530008033033,1
Austin,484530008033034,3
Austin,484530008033035,1
Austin,484530008033036,7
Austin,484530008033037,2
Austin,484530008033038,4
Austin,484530008033039,9
Austin,484530008041000,2
Austin,484530008041001,1
Austin,484530008041002,3
Austin,484530008041003,4
Austin,484530008041004,4
Austin,484530008041005,3
Austin,484530008041007,2
Austin,484530008041008,5
Austin,484530008041009,4
Austin,484530008041010,7
Austin,484530008041011,3
Austin,484530008041013,11
Austin,484530008041014,2
Austin,484530008041015,3
Austin,484530008041016,5
Austin,484530008041017,2
